target_user_id,gstat_user_len_mean,gstat_user_sr_max_share,gstat_question_ratio,gstat_caps_ratio,gstat_readability_fk,gstat_link_ratio,gstat_negation_ratio,gstat_subjectivity_ratio,gstat_emoticon_ratio,gstat_contraction_ratio,gstat_avg_word_len,gstat_long_word_ratio,gstat_stopword_ratio,gstat_rep_bigram_ratio,gstat_hour_entropy,gstat_nocturnal_ratio,gstat_circadian_mean,gstat_reply_delay_std
26,-0.441419,-0.855422,4.35739,0.12408,-0.820616,-0.625585,0.559032,0.143095,-0.205074,0.650225,-1.70963,-1.59778,-0.33029,0.557891,1.53187,0.320174,-1.57458,-0.825965
27,0.0208642,0.113624,-0.629794,0.159579,0.100662,3.01421,-0.771089,-1.17214,-0.370688,0.108468,0.41579,0.612859,0.45791,0.189605,0.211285,0.388404,0.909623,-0.587545
28,-0.93807,-0.945568,0.0351567,-0.73462,0.780786,-0.696955,1.79143,-0.322197,-0.418993,-0.292543,1.82839,1.80553,-0.674859,-1.19827,0.755668,-0.737493,0.306267,2.4281
29,0.119188,-1.03269,0.713373,-0.144675,0.455816,0.236294,-1.2946,-0.0870901,-0.32756,0.23412,0.342456,0.618471,0.566558,0.0237578,-0.470485,0.399832,-0.74399,-0.955267
30,-0.656925,-1.10332,0.478473,-0.382383,-0.800066,-0.696955,2.89163,-0.229063,0.290046,2.05542,0.35892,0.369918,-0.325748,-0.476793,0.18202,-0.157482,0.753728,-0.716751
31,0.28905,-0.810354,0.478473,0.646212,1.4284,0.016729,0.46656,-0.803767,-0.379314,-0.00822234,1.75919,1.76479,0.738743,-0.246695,0.685905,1.10488,1.15272,-0.833916
32,2.19847,-0.652598,0.810959,-0.753147,1.34597,-0.197381,0.364841,-0.614471,-0.308583,0.827478,0.459028,0.490835,0.919959,0.829193,1.37555,-0.703375,0.686389,-0.879784
33,-0.907364,-1.01318,0.256815,-0.188786,-0.25785,0.516303,-0.0737685,-0.120028,-0.115366,0.405241,0.590915,0.570554,-0.600021,-1.26586,0.91153,0.729584,1.04211,-0.799147
34,-0.567222,-0.78361,1.82695,0.686777,0.0371883,0.451423,-0.520154,0.12833,-0.205074,-0.38782,1.06791,1.18881,-0.158157,-0.823398,1.32053,0.262705,-1.09622,2.11203
35,0.52484,0.812247,-0.629794,-0.85758,0.759596,-0.554215,-0.302005,0.151424,-0.418993,0.942565,0.0270189,0.0815424,0.678842,1.02213,0.704949,-0.0210139,-1.72304,2.29942
36,-1.65417,-0.404701,-1.95972,31.8745,-5.93249,13.1485,-2.39397,-1.46896,0.322824,-1.53888,-5.19612,-6.20674,-8.78576,8.40975,-0.858985,2.02607,-1.66735,-1.09297
37,2.01057,0.722101,0.256815,-0.266152,0.466729,-0.0546409,0.759317,-0.287366,-0.260279,0.794461,1.02227,1.02444,1.11122,0.574314,0.0249454,1.24136,-1.49227,0.402671
38,0.886271,0.293917,-0.740623,-0.896843,0.0085833,0.016729,0.783696,0.369115,0.155484,-0.116328,-0.423925,-0.284873,0.633019,1.19816,0.324289,0.251936,0.779814,-0.908231
39,-0.352681,-1.14839,0.478473,0.559582,-0.812165,1.72956,-0.00504551,-0.57169,-0.294782,0.935678,0.0252622,0.156032,-0.663454,-0.287105,0.754765,1.65078,-1.53777,-0.579719
40,0.111829,-0.760965,0.379304,-0.401634,1.40317,-0.122249,-0.147536,-1.07219,-0.27408,0.439579,-0.661731,-0.472681,0.888116,0.0351243,-0.60633,1.11974,-1.67784,0.410807
41,-0.528705,0.767822,-0.951621,-0.981808,-0.105526,0.530032,0.242526,-0.345669,0.429783,1.14057,-0.087454,0.119455,0.137261,-0.383296,-0.446187,1.20363,0.987723,-0.687776
42,1.18883,0.203771,0.256815,-0.62056,-0.0733451,0.230824,0.218147,-0.820425,-0.174021,0.816913,-0.699962,-0.541635,0.32741,1.15866,0.270438,0.968415,-1.49249,-0.908595
43,-0.9068,0.767174,0.810959,-0.902669,-0.946465,0.159469,0.526246,-0.612578,-0.418993,1.73789,-0.870477,-0.960052,-0.909365,-1.02622,0.0167084,0.627235,0.891135,-1.0928
44,-0.0923824,-0.404701,4.13576,-0.493004,1.41925,-0.126011,0.171912,-0.966184,-0.418993,0.423542,3.0346,3.03348,1.10637,-0.625204,0.771274,1.10488,-1.3563,-0.153261
45,1.50913,-1.216,-1.18394,-0.761832,2.48162,-0.48286,0.0220657,-0.497864,-0.393115,0.700788,1.14869,1.22817,0.871261,0.857314,1.58965,-0.157482,0.779578,1.3356
46,1.73013,-0.984139,-1.1754,0.132584,1.17178,0.746195,-0.250936,-0.885165,-0.370688,-1.76933,1.86942,1.8407,0.479054,0.72326,0.0773574,0.962512,-1.65723,-0.403889
47,-0.880602,-0.765281,0.810959,0.512106,-0.812165,0.801783,-0.267749,0.077598,0.0657756,0.0408311,0.173955,0.178787,-0.527402,-1.16567,-0.856822,0.729584,-1.58995,-0.969988
48,0.0300257,-0.896832,-0.4002,-0.3399,0.615523,0.164579,1.89798,-0.815882,0.312473,1.60224,0.419807,0.720603,0.0701938,-0.160505,0.155293,-0.662886,0.60919,0.126848
49,1.38405,0.27138,-0.740623,-1.02986,2.78621,-0.911065,0.488627,0.346021,-0.418993,-0.326692,0.515641,0.701169,1.2884,1.73379,-0.0388029,0.558998,0.920346,0.173416
50,-0.220479,-1.07798,0.156598,-0.779961,-0.278113,-0.409093,1.59787,-0.152587,-0.418993,-1.39719,-0.716465,-0.680229,0.302883,0.198075,1.31928,0.194145,-1.3518,-0.490901
51,-0.912998,-0.269487,-0.29733,-0.507478,-1.37356,0.159469,-0.314615,0.879459,-0.201623,0.554099,-1.63496,-1.93204,-0.00827773,-0.552022,-2.38209,3.76609,-1.40303,-1.05223
52,-0.479168,0.78971,0.145986,-1.05273,-0.200759,-0.625585,1.45348,0.0984206,-0.418993,1.34961,-0.7252,-0.450575,-0.207107,-0.0907007,-0.348859,-0.191601,0.708902,-0.919672
53,-0.401416,1.15029,2.14086,-0.532881,-0.0298951,0.230824,0.507542,-0.764015,0.274519,0.375621,1.35213,1.25749,-0.155432,-0.883183,0.018311,0.900178,-1.50816,-0.849278
54,-0.480607,-0.647747,0.602032,-0.0881521,-1.51637,0.236294,-0.780546,1.84033,-0.0722367,0.763803,-0.670413,-0.708979,-0.325041,-0.134414,-0.650677,2.2853,-1.49848,-0.971187
55,4.2051,-0.693033,-0.06613,-0.888339,1.90067,1.16852,-0.00378423,-0.552381,-0.389665,-1.63764,0.909123,0.684942,0.858898,2.47806,0.390843,0.742646,0.972274,0.734077
